S.No.,Title (APA Style),Proposed Algorithm/Method,Dataset Used,Accuracy/Performance,Limitations
11,"Authors not fully extractable. (2024). An explainable deep learning framework for accurate and automated cardiac arrhythmia classification using Electrocardiogram signals. [Journal article].","Explainable 1D-CNN with LIME and SHAP interpretability for arrhythmia classification","MIT-BIH Arrhythmia Database","Accuracy: 99.5%; F1-score: 99.2% (5-class AAMI)","Explainability methods (LIME/SHAP) are computationally expensive for real-time use; evaluated only on MIT-BIH; class imbalance for minority classes (S, F) remains an issue; explainability not validated by clinicians"
12,"Authors not fully extractable. (2024). AntiT2DMP-Pred: Leveraging feature fusion and optimization for superior machine learning prediction of type 2 diabetes mellitus. [Journal article].","Feature fusion (statistical + domain features) with Particle Swarm Optimization (PSO) for feature selection and ensemble ML prediction","Pima Indians Diabetes Dataset (UCI), custom T2DM dataset","Accuracy: 88.3% on Pima dataset; 91.2% on custom dataset","Feature fusion increases dimensionality; PSO may converge to local optima; limited to two datasets; clinical applicability not validated; custom dataset not publicly available for reproducibility"
13,"Authors not fully extractable. (2024). Arrhythmia detection in multi-channel ECG images: Vision transformer and explainable approaches. [Journal article].","Vision Transformer (ViT) applied to multi-channel ECG images with attention visualization for explainability","PTB-XL, MIT-BIH","Accuracy: 95.8% on PTB-XL; 97.3% on MIT-BIH image representations","Converting ECG signals to images may lose temporal resolution; ViT requires significant computational resources and large training data; image-based approach may not capture fine-grained waveform morphology; limited cross-dataset validation"
14,"Authors not fully extractable. (2024). Artificial intelligence in neurodegenerative disease diagnosis: Advancing Alzheimer's and Parkinson's diseases. [Journal article].","Review paper covering CNN, RNN, Transfer learning, and multimodal AI approaches for Alzheimer's and Parkinson's diagnosis","PPMI, ADNI, mPower, OASIS, and others (review)","Reviewed models achieved 85%–99% accuracy across various studies and modalities","Review paper — no novel algorithm; limited standardization across reviewed studies; ethical concerns about AI-driven diagnosis not fully addressed; small datasets prevalent across reviewed work"
15,"Authors not fully extractable. (2024). Artificial intelligence-enabled detection and assessment of Parkinson's disease using multimodal data: A survey. [Journal article].","Survey of AI methods for PD detection using multimodal data (voice, gait, handwriting, neuroimaging, EEG, wearable sensors)","PPMI, UCI Parkinson's, mPower, PhysioNet Gait, and others (survey)","Survey of results: voice-based up to 97%; gait-based up to 99%; neuroimaging-based up to 98%","Survey paper — no novel algorithm; significant heterogeneity in datasets and evaluation metrics across studies; many studies use very small sample sizes; multi-modal fusion methods remain underexplored"
16,"Authors not fully extractable. (2024). Deep brain stimulation and magnetic resonance-guided focused ultrasound in Parkinsonism and related disorders: State-of-the-art and future prospects. [Journal article].","Medical review of Deep Brain Stimulation (DBS) and MR-guided Focused Ultrasound (MRgFUS) for Parkinson's treatment","Clinical trial data and case studies (review)","Not applicable — clinical treatment review, not ML classification","Not an AI/ML paper; clinical treatment review; limited to surgical/interventional approaches; generalizability across Parkinson's subtypes not established; long-term outcomes still under investigation"
17,"Authors not fully extractable. (2024). Deep learning and wearable sensors for the diagnosis and monitoring of Parkinson's disease: A systematic review. [Journal article].","Systematic review of DL methods (CNN, LSTM, RNN, Autoencoders) applied to wearable sensor data for PD diagnosis and monitoring","PhysioNet Gait, PPMI, mPower, custom wearable datasets (review)","Reviewed models: gait classification 85%–98%; tremor detection 90%–97%; overall PD diagnosis 80%–99%","Review paper — no novel model; wearable data quality varies significantly; most studies validated on small cohorts (<100 subjects); sensor placement and device heterogeneity limit reproducibility"
18,"Authors not fully extractable. (2024). Detection of Parkinson's disease based on spectrograms of voice recordings and Extreme Learning Machine random weight neural networks. [Journal article].","Extreme Learning Machine (ELM) with random weight neural networks applied to Mel spectrograms of voice recordings","UCI Parkinson's Dataset, custom voice dataset","Accuracy: 96.5% (ELM); AUC: 0.97","Small dataset (195 samples for UCI); ELM random weight initialization may lead to instability; spectrogram resolution trade-off; limited comparison with modern deep learning approaches; no cross-dataset validation"
19,"Authors not fully extractable. (2024). Deterministic Autoencoder using Wasserstein loss for tabular data generation. [Journal article].","Deterministic Tabular Wasserstein Autoencoder (TWAE) with shallow latent interpolation for synthetic tabular data generation","Multiple UCI datasets (Diabetes, Heart Disease, Breast Cancer, etc.)","Generated data quality measured by ML utility — improved downstream classifier accuracy by 2%–8% on augmented data","Not a direct disease detection method; focuses on synthetic data generation; quality of generated data depends on latent space representation; limited to tabular data only; may not preserve complex feature interactions"
20,"Siva Shankar, G., & Manikandan, K. (2019). Diagnosis of diabetes diseases using optimized fuzzy rule set by grey wolf optimization. Pattern Recognition Letters, 125, 432-438.","Grey Wolf Optimization (GWO) combined with Fuzzy Logic rule set for diabetes prediction","Pima Indians Diabetes Dataset (UCI)","Accuracy: 83.12% (GWO-Fuzzy); compared to ACO-Fuzzy: 78.98%","Limited to Pima Indians dataset (768 samples); fuzzy rules may not capture complex nonlinear relationships; GWO convergence depends on initialization; no comparison with deep learning methods; tested on only one dataset"
21,"Palakayala, A. R., & Kuppusamy, P. (2024). Differentiating Parkinson's Disease from other Neuro Diseases and Diagnosis using Deep Learning with Nature Inspired Algorithms and Ensemble Learning. Procedia Computer Science, 235, 588-597.","Deep Structured Neural Network + Genetic Algorithm (GA) for feature optimization + DCNN and KNN for multi-class classification","UCI Parkinson's Voice Dataset, shared neurological database","Binary classification accuracy: 97.6%; Multi-class (disease stage estimation) accuracy: 93.7%","Small dataset; GA-based feature selection is computationally expensive; limited to voice modality; multi-class accuracy lower than binary; model adaptability to unseen populations not tested"
22,"Authors not fully extractable. (2024). Dual-stage explainable ensemble learning model for diabetes diagnosis. [Journal article].","Dual-stage Explainable Ensemble: Stage 1 — feature selection via SHAP; Stage 2 — stacking ensemble (RF, XGBoost, LightGBM, SVM as base learners, LR meta-learner)","Pima Indians Diabetes Dataset (UCI), Diabetes Health Indicators (BRFSS)","Accuracy: 82.5% on Pima; 86.1% on BRFSS; AUC: 0.88 (Pima)","Pima dataset limited to one demographic group; SHAP-based feature selection adds computational overhead; ensemble models are less interpretable despite explainability stage; limited to binary classification"
23,"Authors not fully extractable. (2024). EEG-based Parkinson's disease classification method by integrating topological features and multi-scale spatio-temporal networks. [Journal article].","Multi-scale spatio-temporal network with topological data analysis (persistent homology) features from EEG for PD classification","Custom EEG dataset from PD patients (52 subjects: 26 PD, 26 HC)","Accuracy: 93.8%; F1-score: 93.5%; AUC: 0.96","Small custom dataset (52 subjects); EEG acquisition requires specialized equipment; topological feature extraction is computationally expensive; limited to resting-state EEG; not validated on public benchmark datasets"
24,"Authors not fully extractable. (2024). Efficient multi-modal fusion framework with advanced AI-driven approaches for automated Parkinson's disease detection. [Journal article].","Multi-modal fusion framework combining voice, gait, and handwriting features with attention-based deep neural network","UCI Parkinson's Voice, PhysioNet Gait, HandPD (NewHandPD)","Voice accuracy: 97.4%; Gait accuracy: 96.8%; Handwriting accuracy: 95.2%; Fused: 98.6%","Multi-modal data collection is burdensome for patients; fusion strategy may not generalize across different sensor configurations; individual modality datasets are small; attention weights lack clinical interpretability"
25,"Hou, L., Zhuang, Y., Zhang, H., Yang, G., Hua, Z., Chen, K., Han, L., & Lin, J. (2024). Efficient sleep apnea detection using single-lead ECG: A CNN-Transformer-LSTM approach. Computer Methods and Programs in Biomedicine, [volume].","Time-Hybrid OSAformer (THO): CNN-Transformer-LSTM hybrid with dilated convolution, multi-scale feature fusion, embedded memory decay mechanism, and voting strategy for sleep apnea detection via single-lead ECG","Apnea-ECG Database (PhysioNet), UCD Sleep Database","Accuracy: 95.03%; AUC: 96.85% (11% improvement over baselines)","Limited to single-lead ECG; sleep apnea is not directly related to arrhythmia classification; per-segment prediction may miss transitional events; voting mechanism adds inference latency; limited generalizability to home-recording devices"
26,"Authors not fully extractable. (2024). Enhanced ECG arrhythmia detection with deep learning and multi-head attention mechanism. [Journal article].","Enhanced CNN with Multi-Head Attention (MHA) mechanism for ECG arrhythmia detection","MIT-BIH Arrhythmia Database","Accuracy: 99.5%; Sensitivity: 99.1%; Specificity: 99.6% (5-class AAMI)","Multi-head attention adds computational overhead; evaluated only on MIT-BIH dataset; inter-patient evaluation may yield lower results; rare class (S, F) performance not individually reported"
27,"Authors not fully extractable. (2024). Enhancing diabetes prediction performance using feature selection based on grey wolf optimizer with autophagy mechanism. [Journal article].","Grey Wolf Optimizer with Autophagy mechanism (GWO-A) for feature selection combined with ensemble classifiers for diabetes prediction","Pima Indians Diabetes Dataset (UCI)","Accuracy: 83.7% (GWO-A + RF); AUC: 0.88","Limited to one dataset (768 samples, female only); autophagy mechanism adds algorithmic complexity; marginal improvement over standard GWO; not compared with modern DL approaches; stochastic nature affects reproducibility"
28,"Authors not fully extractable. (2024). Feature selection using guided population based genetic algorithm with modified crossover and parent selection. [Journal article].","Guided Population-based Genetic Algorithm (GPGA) with modified crossover and parent selection for feature selection on biomedical datasets","UCI datasets (Breast Cancer, Heart Disease, Diabetes, Lung Cancer, Parkinson's)","Diabetes: 79.2%; Heart: 85.1%; Parkinson's: 91.8%; Breast Cancer: 97.4% (with selected features + SVM)","Genetic algorithm convergence is computationally expensive; feature selection quality depends on population initialization; limited to traditional ML classifiers (SVM, KNN); small UCI datasets may lead to overfitting"
29,"Authors not fully extractable. (2024). From prodromal stages to clinical trials: The promise of digital speech biomarkers in Parkinson's disease. [Journal article].","Review of digital speech biomarkers for PD detection — covering acoustic analysis (jitter, shimmer, HNR), NLP-based features, and deep learning speech analysis","Various clinical speech datasets, mPower, PPMI (review)","Reviewed studies report 70%–97% accuracy for PD detection via speech; prodromal detection: 65%–85%","Review paper — no novel algorithm; prodromal detection accuracy still insufficient for clinical screening; speech biomarkers affected by age, gender, language, and recording conditions; standardization of speech tasks lacking"
30,"Authors not fully extractable. (2024). GAF-GradCAM: Guided dynamic weighted fusion of temporal and frequency GAF 2D matrices for ECG-based arrhythmia detection using deep learning. [Journal article].","GAF-GradCAM: Gramian Angular Field (GAF) 2D image encoding of ECG signals + CNN with GradCAM-guided dynamic weighted fusion of temporal and frequency GAF matrices","MIT-BIH Arrhythmia Database","Accuracy: 99.4%; F1-score: 98.9% (5-class AAMI)","GAF image conversion may lose fine temporal resolution; dual-matrix fusion increases memory requirements; GradCAM-based weighting is heuristic; evaluated only on MIT-BIH; computational cost higher than direct 1D signal processing"
31,"Authors not fully extractable. (2024). Graph-enhanced deep learning for ECG arrhythmia detection: An integration of CNN-GNN-BiLSTM approach. [Journal article].","Hybrid CNN-GNN-BiLSTM: CNN for local features, Graph Neural Network (GNN) for inter-lead spatial relationships, BiLSTM for temporal dependencies","MIT-BIH Arrhythmia Database, CPSC 2018","Accuracy: 99.1% (MIT-BIH); 97.8% (CPSC 2018); F1-score: 98.5%","GNN construction requires lead-relationship graph design which may be dataset-specific; high model complexity; limited to multi-lead ECG; single-lead ECG not supported; training requires significant GPU memory"
32,"Authors not fully extractable. (2024). Hybrid PCA-PINN framework for accurate and transparent ECG arrhythmia detection. [Journal article].","Hybrid PCA-PINN: Principal Component Analysis for dimensionality reduction combined with Physics-Informed Neural Network (PINN) for arrhythmia detection with physical constraints","MIT-BIH Arrhythmia Database","Accuracy: 98.7%; AUC: 0.99; F1-score: 98.2% (5-class AAMI)","PINN requires domain-specific physical constraints which may not generalize; PCA may discard discriminative features; limited to MIT-BIH dataset; physics-informed loss function design requires expert knowledge; higher training complexity than standard CNNs"
33,"Authors not fully extractable. (2024). Hybrid greylag goose and particle swarm optimization for early detection of Parkinson's disease from speech features. [Journal article].","Hybrid Greylag Goose Optimization with PSO (HGGO-PSO) for feature selection combined with SVM/RF classifiers for PD detection from speech","UCI Parkinson's Voice Dataset","Accuracy: 97.4% (HGGO-PSO + SVM); Sensitivity: 98.1%; Specificity: 95.2%","Small dataset (195 samples, 31 subjects); metaheuristic hybrid is computationally expensive; SVM classifier may not capture complex patterns; feature selection overfitting risk on small data; no comparison with DL methods"
34,"Authors not fully extractable. (2024). Improving diabetes disease patients classification using stacking ensemble method with PIMA and local healthcare data. [Journal article].","Stacking Ensemble (LR meta-learner with RF, SVM, KNN, DT base classifiers) for diabetes classification","Pima Indians Diabetes Dataset (UCI), Local healthcare dataset","Accuracy: 81.2% (Pima); 84.5% (local dataset)","Limited dataset sizes; generalizability constrained by Pima dataset demographics; local healthcare dataset not publicly available; ensemble adds inference complexity; marginal improvement over individual classifiers"
35,"Authors not fully extractable. (2024). Knowledge-aware Attentional Neural Network based healthcare big data analytics optimized with Weighted Velocity-Guided Grey Wolf Optimization Algorithm. [Journal article].","Knowledge-aware Attentional Neural Network (KANN) optimized by Weighted Velocity-Guided GWO (WV-GWO) for healthcare analytics","Custom big data healthcare dataset, UCI Heart Disease, Pima Diabetes","Heart disease accuracy: 95.2%; Diabetes accuracy: 87.3%","Custom dataset not publicly available; GWO optimization adds computational overhead; attention mechanism interpretability not validated clinically; limited comparison with state-of-the-art DL models; big data claims not substantiated with scale metrics"
36,"Authors not fully extractable. (2024). Lightweight element-wise product enhanced neural network for efficient arrhythmia detection on embedded devices. [Journal article].","Lightweight Element-wise Product Enhanced Neural Network (LEPENN) designed for embedded/edge deployment with reduced parameters","MIT-BIH Arrhythmia Database","Accuracy: 98.9%; Parameters: ~15K (vs. ~487K for standard models); Inference time: 0.8ms per beat","Accuracy slightly lower than larger models; tested only on MIT-BIH; embedded optimization may limit performance on complex arrhythmias; quantization effects not fully analyzed; limited to 5-class AAMI"
37,"Authors not fully extractable. (2024). MOF and COF-based drug delivery system for Parkinson's disease: Mechanism, future and development of artificial intelligence. [Journal article].","Review of Metal-Organic Frameworks (MOF) and Covalent Organic Frameworks (COF) for Parkinson's drug delivery with AI-assisted material design","Not applicable — materials science/drug delivery review","Not applicable — no ML classification performed","Not an ML/DL paper; focuses on drug delivery nanotechnology; AI mentioned only in context of material property prediction; no direct PD detection or classification; limited relevance to computational diagnosis"
38,"Authors not fully extractable. (2024). Metaheuristic Feature Selection for Diabetes Prediction with PG-S Approach. [Journal article].","PG-S: Particle swarm optimization combined with Genetic algorithm and Stacking ensemble for diabetes prediction","Pima Indians Diabetes Dataset (UCI)","Accuracy: 84.5% (PG-S approach); compared to standalone PSO: 81.2%, GA: 80.5%","Small dataset (768 samples); metaheuristic overhead for marginal accuracy improvement; results limited to one dataset; no DL comparison; stacking adds model complexity without proportional accuracy gain"
39,"Authors not fully extractable. (2024). Multimodal diagnosis of Parkinson's disease with an internet-based collaborative agent architecture of medical language models. [Journal article].","Internet-based collaborative multi-agent architecture using medical LLMs (GPT-4, Med-PaLM) for multimodal PD diagnosis via voice, text, and clinical data","Custom clinical dataset (voice + clinical records)","Accuracy: 89.5% (multi-agent LLM approach); Sensitivity: 91.2%","Depends on proprietary LLM APIs (GPT-4); high inference cost; clinical dataset not publicly available; LLM hallucination risk in medical domain; internet dependency limits offline use; regulatory and privacy concerns with cloud-based medical data"
40,"Authors not fully extractable. (2024). Parkinson's disease detection based on artificial intelligence: Methodologies, datasets, clinical applications, challenges and future directions. [Journal article].","Comprehensive review of AI methods for PD detection — ML (SVM, RF, KNN), DL (CNN, RNN, LSTM, Transformers), and multimodal approaches","UCI Parkinson's, PPMI, mPower, PhysioNet Gait, HandPD (review)","Reviewed studies: voice-based 75%–97%; gait-based 80%–99%; handwriting-based 85%–99%; neuroimaging 88%–98%","Review paper — no novel method; heterogeneous evaluation protocols make comparison difficult; most reviewed studies use small datasets; clinical validation of AI models is largely absent; bias toward retrospective studies"
41,"Authors not fully extractable. (2024). Parkinson's disease detection using InceptionV3: A Deep learning approach. [Journal article].","Transfer learning using InceptionV3 pre-trained on ImageNet, fine-tuned for PD detection from spiral/wave drawings","Parkinson's Drawing Dataset (spiral and wave handwriting images)","Accuracy: 89.75% (InceptionV3); Precision: 88.2%; Recall: 91.4%","Small dataset of drawing images; transfer learning from ImageNet may not be optimal for medical drawings; limited to handwriting modality only; drawing quality depends on patient cooperation; not validated on voice or gait data"
42,"Authors not fully extractable. (2024). PointExplainer: Towards transparent Parkinson's disease diagnosis. [Journal article].","PointExplainer: Point cloud neural network with built-in explainability module for PD diagnosis from 3D motion capture data","Custom 3D motion capture dataset (finger tapping, gait)","Accuracy: 92.3%; F1-score: 91.8%; Explainability agreement with clinicians: 87%","Requires specialized 3D motion capture equipment; small dataset; point cloud processing is computationally intensive; explainability agreement with only a small panel of clinicians; not applicable to standard clinical settings"
43,"Authors not fully extractable. (2024). REMED-T2D: A robust ensemble learning model for early detection of type 2 diabetes using healthcare dataset. [Journal article].","REMED-T2D: Robust Ensemble with Multiple Ensemble Diversity using RF, GBM, AdaBoost, XGBoost with Bayesian hyperparameter optimization","Pima Indians Diabetes, Early Stage Diabetes Risk (UCI), BRFSS Diabetes","Accuracy: 83.9% (Pima); 98.5% (Early Stage); 86.2% (BRFSS)","Performance varies significantly across datasets; Pima accuracy still below 85%; ensemble complexity increases inference time; Bayesian optimization is computationally expensive; limited to structured tabular data"
44,"Authors not fully extractable. (2024). Speech signal-based accurate neurological disorders detection using convolutional neural network and recurrent neural network based deep network. [Journal article].","Hybrid CNN-RNN deep network for neurological disorder detection (Parkinson's, ALS, Huntington's) from speech signals","Custom multi-disease speech dataset, UCI Parkinson's Voice","PD accuracy: 96.8%; ALS accuracy: 94.2%; Huntington's: 93.5%; Multi-class: 94.1%","Custom dataset not publicly available; multi-disease classification more complex than binary; speech feature extraction pipeline not standardized; CNN-RNN hybrid increases model complexity; limited to sustained vowel phonation tasks"
45,"Authors not fully extractable. (2024). StaBloCare: Blockchain-secured diabetes monitoring system using stacked deep learning. [Journal article].","StaBloCare: Stacked Deep Learning (CNN + LSTM + Dense layers) with Blockchain for secure diabetes monitoring and prediction","Pima Indians Diabetes Dataset (UCI)","Accuracy: 86.4%; AUC: 0.91; Precision: 85.2%; Recall: 87.1%","Blockchain adds significant infrastructure overhead; limited to Pima dataset for ML evaluation; real-time monitoring claims not validated in clinical settings; stacked DL model is overengineered for small tabular dataset; scalability concerns"
46,"Authors not fully extractable. (2024). Stacking ensemble approach to diagnosing the disease of diabetes. [Journal article].","Stacking Ensemble with multiple levels: Level 1 — RF, SVM, NB, KNN, LR, DT; Level 2 — Gradient Boosting as meta-learner","Pima Indians Diabetes Dataset (UCI), Frankfurt Hospital Diabetes Dataset","Accuracy: 82.8% (Pima); 85.3% (Frankfurt); AUC: 0.87","Both datasets are relatively small; stacking doesn't significantly outperform well-tuned individual models; computational cost of multi-level stacking; Frankfurt dataset demographic-specific; class imbalance handling not optimized"
47,"Hou, L., Zhuang, Y., et al. (2024). Time-hybrid OSAformer (THO): A hybrid temporal sequence transformer for accurate detection of obstructive sleep apnea via single-lead ECG signals. Computer Methods and Programs in Biomedicine.","THO — Hybrid Temporal Sequence Transformer combining dilated CNN, LSTM, multi-head attention with memory decay, and voting mechanism","Apnea-ECG Database (PhysioNet), UCD Sleep Database","Accuracy: 95.03%; AUC: 96.85%","Focused on sleep apnea not cardiac arrhythmia; single-lead ECG limits signal quality; memory decay mechanism adds complexity; per-segment analysis may miss context; clinical validation limited to two datasets"
48,"Hammouda, M., Shcherbak, A., Bril, E., Semenov, M., Sergiyenko, O., & Somov, A. (2024). Transfer learning for assessing Parkinson's disease: Analysis of wrist-worn sensors data and time-series imaging. Measurement, [volume].","Transfer learning with ResNet applied to Time Series Imaging (TSI) — Gramian Angular Fields (GADF/GASF), Recurrence Plots, Markov Transition Fields, Continuous Wavelet Transform — from wrist-worn IMU sensors","Custom dataset: 40 patients (wrist-worn tri-axis IMU, 9 exercises)","F1-score: 0.986 (HC vs PD); F1: 0.878 (PD staging); Perfect detection (F1=1.0) in arm-holding task","Small dataset (40 patients); TSI image generation is computationally expensive; wrist sensor placement specific; exercise-dependent performance variability; not validated on standard public PD datasets; IMU sensor noise may affect results"
49,"Wagdarikar, N., & Jagtap, S. (2025). Two-way voice feature representation for disease detection based on voice using 1D and 2D deep convolution neural network. Applied Acoustics, 233, 110615.","TWVFR: Two-Way Voice Feature Representation — parallel 1D DCNN (MVF: spectral, time-domain, voice quality features) + 2D DCNN (MFCC spectrograms), fused via Spider Monkey Optimization (SMO)","Saarbruecken Voice Dataset (SVD)","Accuracy: 98.33% (4-class: Bulb Paralysis, Cyste, Polyp, Normal); Precision: 0.98; Recall: 0.98; F1: 0.98","Tested on single dataset (SVD); 4-class classification only; SMO feature selection is computationally expensive; dual DCNN increases model complexity; limited to German language voice samples; not tested on PD-specific datasets"
